查詢區間:114年01月01日~114年05月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"桃園市中壢區","中正路二段139號","2025-04-10 09:45:00 		                  			 ~  		                  				2025-04-10 10:46:00","61","17.00"
"桃園市蘆竹區","南福街255巷(涵洞內)","2025-04-10 09:45:00 		                  			 ~  		                  				2025-04-10 10:36:00","51","11.00"
"桃園市中壢區","中華路、自強一路口(號誌燈桿上)","2025-04-10 09:45:00 		                  			 ~  		                  				2025-04-10 10:16:00","31","11.00"
"桃園市中壢區","環北路中福路交叉口","2025-04-10 09:45:00 		                  			 ~  		                  				2025-04-10 10:16:00","31","15.00"
"桃園市中壢區","中正路延平路-4","2025-04-10 09:40:00 		                  			 ~  		                  				2025-04-10 10:36:00","56","17.00"
"桃園市蘆竹區","海山路二段海山中街口","2025-04-10 08:35:00 		                  			 ~  		                  				2025-04-10 09:06:00","31","12.00"
"桃園市蘆竹區","國道長榮前大側溝(感測器距溝底70cm)","2025-04-09 23:55:00 		                  			 ~  		                  				2025-04-10 00:35:00","40","14.00"
"嘉義市西區","紅瓦里重慶二街附近","2025-04-01 14:27:10 		                  			 ~  		                  				2025-04-01 14:59:34","32","11.00"
"新竹市東區","科學園路2號附近","2025-04-01 10:38:04 		                  			 ~  		                  				2025-04-01 11:04:16","26","12.00"
"臺南市七股區","龍山里活動中心旁電杆","2025-03-31 00:00:00 		                  			 ~  		                  				2025-04-01 14:49:35","2329","10.00"
"桃園市蘆竹區","國道長榮前大側溝(感測器距溝底70cm)","2025-03-15 10:45:00 		                  			 ~  		                  				2025-03-15 11:06:36","21","23.00"
"桃園市中壢區","中華路、自強一路口(號誌燈桿上)","2025-03-15 08:05:00 		                  			 ~  		                  				2025-03-15 08:26:36","21","10.00"
"桃園市中壢區","中正路延平路-4","2025-03-15 08:05:00 		                  			 ~  		                  				2025-03-15 08:26:36","21","14.00"
"雲林縣土庫鎮","西平里_民生路166之5號","2025-03-13 16:02:01 		                  			 ~  		                  				2025-03-13 22:39:54","397","26.00"
"雲林縣大埤鄉","成功廟","2025-03-13 15:21:41 		                  			 ~  		                  				2025-03-13 22:39:54","438","25.00"
"臺中市神岡區","豐洲堤防","2025-03-13 12:47:04 		                  			 ~  		                  				2025-03-13 13:06:25","19","19.00"
"臺中市清水區","坑口宮海風產業道路","2025-03-13 12:13:04 		                  			 ~  		                  				2025-03-13 12:36:25","23","10.00"
"屏東縣林邊鄉","中林路285號","2025-03-13 12:13:00 		                  			 ~  		                  				2025-03-13 22:39:54","626","82.00"
"桃園市中壢區","中華路、自強一路口(號誌燈桿上)","2025-03-13 12:10:00 		                  			 ~  		                  				2025-03-13 12:26:26","16","10.00"
"臺中市大甲區","雁門路與錦上街口","2025-03-13 11:58:04 		                  			 ~  		                  				2025-03-13 12:26:26","28","11.00"
"屏東縣內埔鄉","中林路與農專街路口","2025-03-13 10:52:00 		                  			 ~  		                  				2025-03-13 22:39:54","707","29.00"
"屏東縣長治鄉","台24線長治交流道全家超商前","2025-03-13 09:54:00 		                  			 ~  		                  				2025-03-13 22:39:54","765","29.00"
"桃園市中壢區","中正路延平路-4","2025-03-13 09:45:00 		                  			 ~  		                  				2025-03-13 10:06:25","21","15.00"
"桃園市中壢區","環北路中福路交叉口","2025-03-13 09:45:00 		                  			 ~  		                  				2025-03-13 10:06:25","21","11.00"
"屏東縣鹽埔鄉","新二村維新路17之1號前","2025-03-13 09:22:00 		                  			 ~  		                  				2025-03-13 22:39:54","797","24.00"
"雲林縣口湖鄉","海天宮","2025-03-06 15:02:21 		                  			 ~  		                  				2025-03-06 15:13:40","11","21.00"
"彰化縣和美鎮","山犁里仁美市場230號","2025-03-06 06:10:00 		                  			 ~  		                  				2025-03-06 07:33:40","83","10.00"
"臺南市仁德區","保安路一段台鐵涵洞","2025-03-04 18:30:00 		                  			 ~  		                  				2025-03-04 19:33:32","63","23.00"
"臺南市佳里區","萊芊寮工業區","2025-03-04 18:00:00 		                  			 ~  		                  				2025-03-05 09:19:25","919","10.00"
"臺中市豐原區","朴子里朴子街65巷24號","2025-03-04 04:07:04 		                  			 ~  		                  				2025-03-04 04:43:30","36","13.00"
"桃園市大溪區","石園路","2025-03-03 23:45:00 		                  			 ~  		                  				2025-03-04 00:13:30","28","21.00"
"嘉義縣六腳鄉","港美村六腳大排水溝","2025-02-21 15:25:14 		                  			 ~  		                  				2025-02-21 15:44:30","19","11.00"
"高雄市大寮區","內坑路161之22號,歡喜鎮大樓","2025-02-21 10:29:33 		                  			 ~  		                  				2025-02-22 03:39:52","1030","10.00"
"高雄市仁武區","河堤北路(華北街12號民宅正後方)社區路燈燈桿","2025-02-13 14:39:04 		                  			 ~  		                  				2025-02-13 15:03:14","24","15.00"
"嘉義縣東石鄉","嘉義縣東石鄉嘉18鄉道12號前","2025-02-13 07:20:31 		                  			 ~  		                  				2025-02-13 09:43:14","143","10.00"
