項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude,行政區
181,2,9,63000020,信義路5段,信義快速道路(象山隧道),25.032958177817097,121.56454567537652,信義區
182,2,8,63000020,松高路19號,新光三越百貨公司A4館,25.039732577812682,121.56391017537669,信義區
183,2,4,63000020,松高路9、11號,統一國際大樓,25.039749677812726,121.56234867537665,信義區
184,2,9,63000020,信義路4段375號,玫瑰欣欣大樓,25.033296977816768,121.55522147537663,信義區
185,2,9,63000020,基隆路2段22號,惠安大樓,25.03198667781772,121.55612687537645,信義區
186,2,9,63000020,基隆路1段432號,雙雄世貿大樓,25.033721277816596,121.55703647537649,信義區
187,2,9,63000020,基隆路2段109號B1,好樂迪KTV,25.028955677819695,121.55482677537643,信義區
188,2,4,63000020,松智路1號,華新麗華大樓,25.03875877781324,121.56368457537667,信義區
189,2,8,63000020,松仁路28號,震怡股份有限公司,25.03958237781283,121.56522747537684,信義區
190,1,8,63000020,松壽路22號,NEO19,25.035364977815554,121.56533877537655,信義區
191,2,4,63000020,信義路5段95號,冠德遠見大樓,25.03318397781693,121.56945057537642,信義區
192,2,4,63000020,信義路5段91巷2號,寶徠花園廣場社區,25.03334437781678,121.56853917537654,信義區
193,2,8,63000020,松壽路9號,新光三越A9館,25.036310377814846,121.56428387537662,信義區
194,1,4,63000020,忠孝東路5段10號,時代飯店,25.041444977811555,121.56271707537668,信義區
195,2,9,63000020,信義路5段(松仁路至松德路段),信義車行地下道,25.032958177817097,121.56454567537652,信義區
196,1,4,63000020,松高路16、18號,富邦信義商旅大樓(含寒舍國際酒店股份有限公司及微風置地股份有限公司松高分公司),25.038155377813666,121.56473897537661,信義區
197,2,9,63000020,逸仙路26巷1號B1,收多易股份有限公司,25.03956287781277,121.55933647537665,信義區
198,2,4,63000020,松勇路69巷2號,臺北信義社區,25.033336477816874,121.56794657537651,信義區
199,2,7,63000020,富陽街57號,名人居-停車塔,25.022149277824074,121.5539536753761,信義區
200,2,4,63000020,松仁路123號,華南銀行總行大樓,25.034519177816072,121.56620597537648,信義區
201,2,4,63000020,松高路1號,遠雄金融中心,25.039624977812725,121.5617328753765,信義區
202,2,7,63000020,忠孝東路5段15巷15號,筌壹企業股份有限公司停車場(停車塔),25.04190087989008,121.52864993056872,信義區
203,2,7,63000020,光復南路439號,仁愛PAGE 1大樓(停車塔),25.035665377815317,121.55515257537658,信義區
204,2,7,63000020,信義路4段450巷1號,愛馬屋101場(停車塔),25.03243797781736,121.55603407537646,信義區
205,2,4,63000020,松勇路53巷21號,文心信義大樓,25.034457027816156,121.5681867253764,信義區
206,2,4,63000020,松智路17號,南山人壽保險股份有限公司(南山廣場),25.03450187781606,121.56362417537645,信義區
207,2,4,63000020,忠孝東路5段68號,國泰置地廣場暨信義微風百貨,25.041060329924925,121.53058723056697,信義區
208,2,8,63000020,松仁路58號,遠東百貨A13,25.036755577814624,121.56537557537656,信義區
209,2,4,63000020,松高路77號,富邦信義大樓A棟,25.039333377812927,121.56776987537667,信義區
210,2,9,63000020,松壽路12號10樓,唯優餐飲有限公司,25.03538647781549,121.56340087537656,信義區
211,2,9,63000020,松壽路22號B1樓,樂三實業股份有限公司(UNDERLINK),25.03550307781545,121.56528507537658,信義區
212,1,9,63000020,忠孝東路4段515號,臺北文化體育園區,25.042254894973244,121.5420882038602,信義區
213,2,4,63000090,南港路3段47巷55號,潤泰玉成總部辦公大樓,25.05185627780487,121.58872137537718,南港區
214,2,9,63000090,中南街1號2樓,中南街1號2樓,25.0550799778026,121.61278807537715,南港區
215,1,6,63000090,忠孝東路7段380號,捷運板南線南港站,25.051856177804883,121.604002075377,南港區
216,1,5,63000090,同德路87號,忠孝醫院,25.04659967780816,121.58356727537691,南港區
217,2,9,63000090,南港路1段32號,捷運文湖線南港展覽館站,25.05493107780282,121.61430297537714,南港區
