項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,Latitude,Longitude
100,2,9,萬華區,萬華區漢中街116號7樓,中影股份有限公司真善美分公司,25.04269058,121.50476218
101,2,9,萬華區,萬華區成都路13號8樓,僖友國際股份有限公司(舞廳),25.04289158,121.50475358
102,2,9,萬華區,萬華區西寧南路36號4樓,新光三越百貨股份有限公司獅子林分公司(新光影城),25.04521688,121.50384908
103,2,9,萬華區,萬華區武昌街2段89號1至4樓,豪華大戲院股份有限公司,25.04555058,121.50139668
104,2,9,萬華區,漢中街52號8至11樓,絕色影城股份有限公司(台北西門威秀影城),25.04389728,121.50453778
105,2,9,萬華區,萬華區成都路88號1至7樓,國賓企業股份有限公司(電影院),25.04292578,121.50202368
106,2,9,萬華區,萬華區武昌街2段85號1樓,樂聲大戲院股份有限公司,25.04537298,121.50225738
107,2,8,萬華區,萬華區西寧南路36號1F-3F樓,獅子林商場,25.04504388,121.50366298
108,2,9,萬華區,和平西路三段187號2樓,金巴黎風味軒餐廳,25.03546778,121.49522708
109,2,9,萬華區,漢口街二段54號3樓,夜上海有限公司,25.04569318,121.50313158
110,2,9,萬華區,漢口街二段55號B1樓,好聚點茶坊,25.04593758,121.50355068
111,2,9,萬華區,漢口街二段37號1樓,東方足體養生館有限公司,25.04567068,121.50470608
112,2,9,萬華區,東園街135號,東園市,25.02489258,121.49450278
113,2,2,大安區,和平東路3段606巷及632巷底,違章建築住宅,25.01973674,121.38493175
114,2,4,大安區,忠孝東路3段265號,朕廈社區,25.04189008,121.53979828
115,2,4,大安區,敦化南路2段201至209號,遠企大樓場所(併鼎鼎大飯店),25.02656848,121.54669088
116,1,5,大安區,仁愛路4段112巷11號,中山醫院,25.03651498,121.54735398
117,2,9,大安區,和平東路3段636巷167號,臺和實業股份有限公司,25.00819078,121.56156668
118,1,5,大安區,仁愛路4段266巷6號,國泰醫院,25.03718178,121.55016898
119,2,1,大安區,基隆路3段155巷,空軍眷村,25.01333018,121.54192588
120,1,5,大安區,仁愛路4段10號,仁愛醫院,25.03727998,121.54262433
121,1,5,大安區,忠孝東路4段77號,中心診所,25.04188128,121.54482593
122,1,5,大安區,仁愛路4段61號,宏恩醫院,25.03819968,121.54412498
123,1,6,大安區,忠孝東路、復興南路口,捷運板南線忠孝復興站,25.02504083,121.53967538
124,1,6,大安區,忠孝東路、敦化南路地下街,捷運板南線地下街,25.04147173,121.54643728
125,1,9,大安區,信義路4段60號,信維市場,25.03285218,121.54321178
126,1,9,大安區,信義路4段2號,捷運木柵線及信義線大安站,25.03383888,121.53901938
127,2,9,大安區,和平東路3段底,莊敬隧道,25.0206431,121.54354605
128,2,9,大安區,和平東路1段177號,和平大廈,25.02657728,121.52980898
129,2,1,大安區,羅斯福路4段119巷60弄,老舊建築,25.00936688,121.53585698
130,2,7,大安區,通化街39巷49弄12號,珍珠細道立體停車塔,25.03107958,121.55292348
131,2,7,大安區,忠孝東路4段205巷38號,台灣聯通停車場-建安場,25.04414868,121.54916978
132,2,7,大安區,光復南路676巷16號,莎軒住商大樓立體停車塔,25.03070968,121.55379398
133,1,9,大安區,忠孝東路4段201號,統領商業大樓,25.04174448,121.54907128
134,1,5,大安區,忠孝東路4段116巷1-5號,秀傳醫院,25.04169134,121.53614175
135,2,1,大安區,基隆路3段155巷107弄,台大教職員宿舍,25.01336788,121.54300548
136,1,6,大安區,信義路2段166號,捷運東門站,25.03356788,121.52690258
137,2,7,大安區,信義路4段265巷17-1號,昌軒小君悅立體停車塔,25.03422428,121.55204658
138,1,5,大安區,基隆路3段155巷57號,台大癌醫中心,25.01399988,121.54014188
139,2,7,信義區,光復南路567號,愛馬屋停車塔,25.03073048,121.55501158
140,2,4,信義區,松仁路32、36、38號,新光金融大樓,25.03794063,121.56590408
141,1,4,信義區,忠孝東路5段6、8號,市政府轉運站暨統一時代百貨公司,25.04196218,121.53077518
142,1,9,信義區,松仁路38號,寒舍艾美酒店,25.03815838,121.56538398
143,2,9,信義區,永吉路443、491巷一帶,五分埔成衣商店街,25.04636198,121.57659618
144,2,2,信義區,褔德街221巷,集合住宅,25.03478658,121.58268698
145,2,9,信義區,紫雲街22-26號,挹翠山莊RC住宅,25.01820318,121.57155998
146,2,9,信義區,崇德街200號以上,平房住宅,25.03236443,121.53312938
147,2,4,信義區,信義路5段150巷8號,雲鼎大樓,25.02956478,121.56809548
148,2,4,信義區,忠孝東路5段508至510號,家美國際金融大樓,25.04259443,121.54604373
149,2,4,信義區,基隆路1段200號,遠雄大樓,25.04021998,121.56100698
150,2,4,信義區,基隆路2段189號,文普世紀天廈,25.02486178,121.55083498
151,2,4,信義區,基隆路1段206號,點石大樓及瀚寓酒店,25.03981148,121.56073638
152,2,4,信義區,基隆路1段333號,國際貿易大樓,25.03425388,121.55853668
153,2,4,信義區,松德路151號,福爾摩沙大廈,25.03663258,121.57237198
154,1,4,信義區,松壽路2號,君悅大飯店,25.03543153,121.56003708
155,2,4,信義區,松德路94號,國際名紳大廈,25.03793548,121.57269528
156,2,4,信義區,信義路5段150巷2號,環球世貿大樓,25.02894638,121.56947768
157,2,4,信義區,松德路93至127號,凱夏社區大樓,25.03797058,121.57346828
158,2,4,信義區,松德路171號,僑泰首席大樓,25.03578158,121.57226778
159,1,4,信義區,信義路5段7號、市府路45號,臺北101大樓,25.03440958,121.55092208
160,2,4,信義區,信義路4段460至466號,信基大樓,25.03273428,121.55621628
161,2,4,信義區,信義路4段456至458號,世紀金融廣場,25.03282698,121.55576228
162,2,4,信義區,松仁路3號,中油大樓,25.03976778,121.56638778
163,2,4,信義區,松仁路7號,國泰金融大樓,25.03813988,121.56610178
164,1,5,信義區,吳興街252號,臺北醫學大學附設醫院,25.02695548,121.56043708
165,2,5,信義區,信義路6段15巷16號1樓,臺北市私立康庭老人養護所,25.03526328,121.57272398
166,2,5,信義區,中坡北路21號1-2樓、23號2樓,臺北市私立倚青苑老人養護所,25.04490488,121.57827108
167,2,5,信義區,松隆路36號6樓,恆愛發展中心,25.01973674,121.38493175
168,1,9,信義區,松山路11號,松山火車站暨潤泰百益股份有限公司,25.04930658,121.57661168
169,1,5,信義區,松德路309號,臺北市立療養院,25.02921318,121.57194438
170,2,9,信義區,菸廠路88號,松山菸廠-誠品生活股份有限公司松山分公司,25.04456078,121.55877578
171,2,6,信義區,忠孝東路4段400號,捷運板南線國父紀念館站,25.04170109,121.5407679
172,2,6,信義區,忠孝東路5段、虎林街口(忠孝東路5段455號),捷運板南線永春站,25.04845588,121.57300348
173,1,6,信義區,忠孝東路5段、基隆路口,捷運板南線市政府站,25.04109068,121.57302358
174,1,8,信義區,忠孝東路5段297號,"七品餐坊七品餐坊
(含KTV SING!GO)",25.04112953,121.57181778
175,2,8,信義區,松壽路11號,新光三越百貨公司A11館,25.03605228,121.56451448
176,2,8,信義區,松高路12號,新光三越百貨公司A8館,25.03814384,121.56562344
177,1,8,信義區,松壽路12號,"ATT 4 FUN
(含KTV SING!GO)",25.03531358,121.56349098
178,1,9,信義區,信義路5段1號,臺北國際會議中心,25.03358208,121.55824068
179,1,9,信義區,信義路5段5號,世貿展覽中心,25.03325908,121.55974908
180,2,9,信義區,吳興街600巷,吳興街狹小巷道,25.01976188,121.56777818
181,2,9,信義區,信義路5段,信義快速道路(象山隧道),25.03295818,121.56454568
182,2,8,信義區,松高路19號,新光三越百貨公司A4館,25.03973258,121.56391018
183,2,4,信義區,松高路9、11號,統一國際大樓,25.03965788,121.56248958
184,2,9,信義區,信義路4段375號,玫瑰欣欣大樓,25.03329698,121.55522148
185,2,9,信義區,基隆路2段22號,惠安大樓,25.03198668,121.55612688
186,2,9,信義區,基隆路1段432號,雙雄世貿大樓,25.03372128,121.55703648
187,2,9,信義區,基隆路2段109號B1,好樂迪KTV,25.02895568,121.55482678
188,2,4,信義區,松智路1號,華新麗華大樓,25.03875878,121.56368458
189,2,8,信義區,松仁路28號,震怡股份有限公司,25.03971548,121.56528573
190,1,8,信義區,松壽路22號,NEO19,25.03536498,121.56533878
191,2,4,信義區,信義路5段95號,冠德遠見大樓,25.03318398,121.56945058
192,2,4,信義區,信義路5段91巷2號,寶徠花園廣場社區,25.03334438,121.56853918
193,2,8,信義區,松壽路9號,新光三越A9館,25.03631038,121.56428388
194,1,4,信義區,忠孝東路5段10號,時代飯店,25.04202108,121.53094768
195,2,9,信義區,信義路5段(松仁路至松德路段),信義車行地下道,25.03295818,121.56454568
196,1,4,信義區,松高路16、18號,富邦信義商旅大樓(含寒舍國際酒店股份有限公司及微風置地股份有限公司松高分公司),25.03815538,121.56473898
197,2,9,信義區,逸仙路26巷1號B1,收多易股份有限公司,25.03956288,121.55933648
198,2,4,信義區,松勇路69巷2號,臺北信義社區,25.03333648,121.56794658
199,2,7,信義區,富陽街57號,名人居-停車塔,25.02214928,121.55395368
200,2,4,信義區,松仁路123號,華南銀行總行大樓,25.03451918,121.56620598
201,2,4,信義區,松高路1號,遠雄金融中心,25.03950468,121.56163208
202,2,7,信義區,忠孝東路5段15巷15號,筌壹企業股份有限公司停車場(停車塔),25.04126598,121.56285468
203,2,7,信義區,光復南路439號,仁愛PAGE 1大樓(停車塔),25.03566538,121.55515258
204,2,7,信義區,信義路4段450巷1號,愛馬屋101場(停車塔),25.03243798,121.55603408
205,2,4,信義區,松勇路53巷21號,文心信義大樓,25.03438318,121.56845478
206,2,4,信義區,松智路17號,南山人壽保險股份有限公司(南山廣場),25.03431183,121.56411483
207,2,4,信義區,忠孝東路5段68號,國泰置地廣場暨信義微風百貨,25.04106033,121.53058723
208,2,8,信義區,松仁路58號,遠東百貨A13,25.03675558,121.56537558
209,2,4,信義區,松高路77號,富邦信義大樓A棟,25.03933338,121.56776988
210,2,9,信義區,松壽路12號10樓,唯優餐飲有限公司,25.03538648,121.56340088
211,2,9,信義區,松壽路22號B1樓,樂三實業股份有限公司(UNDERLINK),25.03550308,121.56528508
212,1,9,信義區,忠孝東路4段515號,臺北文化體育園區,25.04225489,121.5423321
213,2,4,南港區,南港路3段47巷55號,潤泰玉成總部辦公大樓,25.05185628,121.58872138
214,2,9,南港區,中南街1號2樓,中南街1號2樓,25.05507998,121.61278808
215,1,6,南港區,忠孝東路7段380號,捷運板南線南港站,25.05185618,121.60400208
216,1,5,南港區,同德路87號,忠孝醫院,25.04659968,121.58356728
217,2,9,南港區,南港路1段32號,捷運文湖線南港展覽館站,25.05493108,121.61430298
218,1,9,南港區,三重路19號,南港經貿園區,25.05666538,121.61075208
219,2,2,南港區,中南街134巷內,老舊社區,25.04985464,121.60276505
220,2,9,南港區,研究院路3段161巷3號,六韜瓦斯分裝場,25.03081948,121.61222788
221,1,9,南港區,經貿二路1號,台北世貿南港展覽館,25.05644518,121.61537638
222,2,9,南港區,研究院路1段99號,太陽大帝住商大廈,25.04847398,121.60927798
223,1,9,南港區,南港區研究院路2段128號內之(化學研究所) ,中央研究院,25.04235951,121.60910199
224,2,6,南港區,研究院路1段1號,捷運南港展覽館站,25.04450418,121.61312188
225,1,4,南港區,園區街3號,南港軟體工業園區第二期大樓,25.05848608,121.60930758
226,1,9,南港區,三重路66號,南港軟體工業園區第三期大樓,25.05715348,121.61186678
227,1,9,南港區,南港路1段313、315號,南港火車站及高鐵站,25.05299118,121.60452148
228,1,9,南港區,忠孝東路7段359~369號,南港車站辦公大樓、潤泰南港車站商場及六福萬怡酒店,25.05251238,121.60348088
229,1,9,南港區,經貿二路2號,南港展覽館二館,25.05631748,121.61325548
230,2,7,南港區,研究院路1段101巷10號,大哲悅社區停車塔,25.05195678,121.61354778
231,2,4,內湖區,內湖路2段103巷16號,勤美璞真碧湖畔,25.08047978,121.57903038
232,2,4,內湖區,成功路4段178至180號,雙湖匯大樓,25.08342468,121.59115318
233,2,4,內湖區,內湖路3段72巷61號,森之林大廈,25.08872718,121.58818118
234,2,4,內湖區,星雲街168巷29至43號,力霸國鼎大廈,25.07997228,121.59448568
235,2,4,內湖區,星雲街150巷26至32號,大成大賞公寓大廈,25.07950868,121.59363518
236,2,4,內湖區,成功路2段365號,現代米羅大廈,25.07364288,121.58753408
237,2,4,內湖區,瑞光路392號,光寶科技大樓,25.07789578,121.56854538
238,2,5,內湖區,成功路2段325號,三軍總醫院,25.07288678,121.58851548
239,2,5,內湖區,成功路3段88、90號2樓及76巷9號2樓,臺北市私立瑞安老人養護所,25.07784269,121.57366445
240,2,5,內湖區,成功路2段488號2.3樓及490號2樓,臺北市私立銀髮族老人養護所,25.07491623,121.56434358
241,2,8,內湖區,新湖三路23號,特力屋廣場,25.06215258,121.57166578
