項次編號,評分等級,認定項目,行政區編號,地址,場所名稱
140,2,4,63000020,松仁路32、36、38號,新光金融大樓
141,1,4,63000020,忠孝東路5段6、8號,市政府轉運站暨統一時代百貨公司
142,1,9,63000020,松仁路38號,寒舍艾美酒店
143,2,9,63000020,永吉路443、491巷一帶,五分埔成衣商店街
144,2,2,63000020,褔德街221巷,集合住宅
145,2,9,63000020,紫雲街22-26號,挹翠山莊RC住宅
146,2,9,63000020,崇德街200號以上,平房住宅
147,2,4,63000020,信義路5段150巷8號,雲鼎大樓
148,2,4,63000020,忠孝東路5段508至510號,家美國際金融大樓
149,2,4,63000020,基隆路1段200號,遠雄大樓
150,2,4,63000020,基隆路2段189號,文普世紀天廈
151,2,4,63000020,基隆路1段206號,點石大樓及瀚寓酒店
152,2,4,63000020,基隆路1段333號,國際貿易大樓
153,2,4,63000020,松德路151號,福爾摩沙大廈
154,1,4,63000020,松壽路2號,君悅大飯店
155,2,4,63000020,松德路94號,國際名紳大廈
156,2,4,63000020,信義路5段150巷2號,環球世貿大樓
157,2,4,63000020,松德路93至127號,凱夏社區大樓
158,2,4,63000020,松德路171號,僑泰首席大樓
159,1,4,63000020,信義路5段7號、市府路45號,臺北101大樓
160,2,4,63000020,信義路4段460至466號,信基大樓
161,2,4,63000020,信義路4段456至458號,世紀金融廣場
162,2,4,63000020,松仁路3號,中油大樓
163,2,4,63000020,松仁路7號,國泰金融大樓
164,1,5,63000020,吳興街252號,臺北醫學大學附設醫院
165,2,5,63000020,信義路6段15巷16號1樓,臺北市私立康庭老人養護所
166,2,5,63000020,中坡北路21號1-2樓、23號2樓,臺北市私立倚青苑老人養護所
167,2,5,63000020,松隆路36號6樓,恆愛發展中心
168,1,9,63000020,松山路11號,松山火車站暨潤泰百益股份有限公司
169,1,5,63000020,松德路309號,臺北市立療養院
170,2,9,63000020,菸廠路88號,松山菸廠-誠品生活股份有限公司松山分公司
171,2,6,63000020,忠孝東路4段400號,捷運板南線國父紀念館站
172,2,6,63000020,忠孝東路5段、虎林街口(忠孝東路5段455號),捷運板南線永春站
173,1,6,63000020,忠孝東路5段、基隆路口,捷運板南線市政府站
174,1,8,63000020,忠孝東路5段297號,"七品餐坊七品餐坊
(含KTV SING!GO)"
175,2,8,63000020,松壽路11號,新光三越百貨公司A11館
176,2,8,63000020,松高路12號,新光三越百貨公司A8館
177,1,8,63000020,松壽路12號,"ATT 4 FUN
(含KTV SING!GO)"
178,1,9,63000020,信義路5段1號,臺北國際會議中心
179,1,9,63000020,信義路5段5號,世貿展覽中心
180,2,9,63000020,吳興街600巷,吳興街狹小巷道
181,2,9,63000020,信義路5段,信義快速道路(象山隧道)
