項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,latitude,longitude
107,2,8,63000070,萬華區西寧南路36號1F-3F樓,獅子林商場,25.04563500874,121.506617032693
108,2,9,63000070,和平西路三段187號2樓,金巴黎風味軒餐廳,25.035483979171,121.497700028819
109,2,9,63000070,漢口街二段54號3樓,夜上海有限公司,25.04578739174,121.505939272002
110,2,9,63000070,漢口街二段55號B1樓,好聚點茶坊,25.045915006216,121.506176982776
111,2,9,63000070,漢口街二段37號1樓,東方足體養生館有限公司,25.045678007903,121.50731499377
112,2,9,63000070,東園街135號,東園市,34.18098318,131.52839778
113,2,2,63000030,和平東路3段606巷及632巷底,違章建築住宅,37.04944539,140.21413035
114,2,4,63000030,忠孝東路3段265號,朕廈社區,25.041835911126,121.542377500582
115,2,4,63000030,敦化南路2段201至209號,遠企大樓場所(併鼎鼎大飯店),43.36954,128.22861
116,1,5,63000030,仁愛路4段112巷11號,中山醫院,,
117,2,9,63000030,和平東路3段636巷167號,臺和實業股份有限公司,37.04944539,140.21413035
118,1,5,63000030,仁愛路4段266巷6號,國泰醫院,,
119,2,1,63000030,基隆路3段155巷,空軍眷村,25.01582758423,121.542950275141
120,1,5,63000030,仁愛路4段10號,仁愛醫院,25.03754001811,121.545302281876
121,1,5,63000030,忠孝東路4段77號,中心診所,25.041882011593,121.547346963336
122,1,5,63000030,仁愛路4段61號,宏恩醫院,25.038178006671,121.546684038614
123,1,6,63000030,忠孝東路、復興南路口,捷運板南線忠孝復興站,,
124,1,6,63000030,忠孝東路、敦化南路地下街,捷運板南線地下街,,
125,1,9,63000030,信義路4段60號,信維市場,25.033190179188,121.545718535539
126,1,9,63000030,信義路4段2號,捷運木柵線及信義線大安站,25.033102009927,121.543986993629
127,2,9,63000030,和平東路3段底,莊敬隧道,25.010764895096,121.56418193045
128,2,9,63000030,和平東路1段177號,和平大廈,25.026517019154,121.532222992523
129,2,1,63000030,羅斯福路4段119巷60弄,老舊建築,25.009426824164,121.53872395228
130,2,7,63000030,通化街39巷49弄12號,珍珠細道立體停車塔,25.031083018999,121.555482019463
131,2,7,63000030,忠孝東路4段205巷38號,台灣聯通停車場-建安場,,
132,2,7,63000030,光復南路676巷16號,莎軒住商大樓立體停車塔,,
133,1,9,63000030,忠孝東路4段201號,統領商業大樓,25.04167799607,121.551773865498
134,1,5,63000030,忠孝東路4段116巷1-5號,秀傳醫院,,
135,2,1,63000030,基隆路3段155巷107弄,台大教職員宿舍,,
136,1,6,63000030,信義路2段166號,捷運東門站,25.033692682643,121.529438859564
137,2,7,63000030,信義路4段265巷17-1號,昌軒小君悅立體停車塔,34.98868348,137.17707059
138,1,5,63000030,基隆路3段155巷57號,台大癌醫中心,,
139,2,7,63000020,光復南路567號,愛馬屋停車塔,25.03075398739,121.557622003163
140,2,4,63000020,松仁路32、36、38號,新光金融大樓,,
141,1,4,63000020,忠孝東路5段6、8號,市政府轉運站暨統一時代百貨公司,25.040864993371,121.565417005478
142,1,9,63000020,松仁路38號,寒舍艾美酒店,,
143,2,9,63000020,永吉路443、491巷一帶,五分埔成衣商店街,34.875,137.08420256
144,2,2,63000020,褔德街221巷,集合住宅,,
145,2,9,63000020,紫雲街22-26號,挹翠山莊RC住宅,,
146,2,9,63000020,崇德街200號以上,平房住宅,,
147,2,4,63000020,信義路5段150巷8號,雲鼎大樓,34.98868348,137.17707059
148,2,4,63000020,忠孝東路5段508至510號,家美國際金融大樓,,
149,2,4,63000020,基隆路1段200號,遠雄大樓,25.040179018416,121.563538034243
150,2,4,63000020,基隆路2段189號,文普世紀天廈,25.024798812822,121.553269197025
151,2,4,63000020,基隆路1段206號,點石大樓及瀚寓酒店,25.039826685116,121.563340724243
152,2,4,63000020,基隆路1段333號,國際貿易大樓,25.034254982618,121.561112982017
153,2,4,63000020,松德路151號,福爾摩沙大廈,,
154,1,4,63000020,松壽路2號,君悅大飯店,25.035744991636,121.562584006024
155,2,4,63000020,松德路94號,國際名紳大廈,25.037936985045,121.575260964024
156,2,4,63000020,信義路5段150巷2號,環球世貿大樓,34.98868348,137.17707059
157,2,4,63000020,松德路93至127號,凱夏社區大樓,,
158,2,4,63000020,松德路171號,僑泰首席大樓,,
159,1,4,63000020,信義路5段7號、市府路45號,臺北101大樓,25.033524206389,121.56460396087
160,2,4,63000020,信義路4段460至466號,信基大樓,34.98868348,137.17707059
161,2,4,63000020,信義路4段456至458號,世紀金融廣場,34.98868348,137.17707059
162,2,4,63000020,松仁路3號,中油大樓,,
163,2,4,63000020,松仁路7號,國泰金融大樓,,
164,1,5,63000020,吳興街252號,臺北醫學大學附設醫院,,
