查詢區間:113年01月01日~113年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市士林區","社子街63巷９弄15號","2024-04-18 08:58:00 		                  			 ~  		                  				2024-04-18 14:30:01","332","-"
"臺北市萬華區","華中橋","2024-04-18 08:53:00 		                  			 ~  		                  				2024-04-18 12:40:01","227","-"
"臺北市北投區","大度路2段","2024-04-18 08:46:00 		                  			 ~  		                  				2024-04-18 12:40:01","234","-"
"臺北市內湖區","民權東路6段190巷117弄","2024-04-18 08:43:00 		                  			 ~  		                  				2024-04-18 12:40:01","237","-"
"臺北市中正區","中正橋","2024-04-18 08:40:00 		                  			 ~  		                  				2024-04-18 12:40:01","240","-"
"臺北市大安區","捷運忠孝敦化站","2024-04-18 08:32:00 		                  			 ~  		                  				2024-04-18 12:40:01","248","-"
"臺北市士林區","士林區福德路31號","2024-04-18 07:48:00 		                  			 ~  		                  				2024-04-18 12:40:01","292","-"
"臺北市文山區","興隆路4段74巷21弄12號","2024-04-18 07:41:00 		                  			 ~  		                  				2024-04-18 12:40:01","299","-"
"臺北市北投區","中央北路2段257巷","2024-04-18 07:37:00 		                  			 ~  		                  				2024-04-18 12:40:01","303","-"
"臺北市南港區","中南街42巷24號","2024-04-18 07:31:00 		                  			 ~  		                  				2024-04-18 12:40:01","309","-"
