查詢區間:110年01月01日~110年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市信義區","臺北市信義區廣居里012鄰虎林街１３２巷７１號","2021-06-04 13:51:00 		                  			 ~  		                  				2021-06-04 16:20:00","149","10.00"
"臺北市文山區","臺北市文山區萬有里013鄰羅斯福路六段３９巷１號至13號","2021-06-04 13:47:00 		                  			 ~  		                  				2021-06-04 16:30:00","163","10.00"
"臺北市大安區","臺北市大安區通化里017鄰通化街５７巷５９號後方防火巷及通化街５７巷整條巷","2021-06-04 13:46:00 		                  			 ~  		                  				2021-06-04 16:40:00","174","10.00"
"臺北市文山區","臺北市文山區興光里007鄰興德路６巷２２號整條巷子","2021-06-04 13:44:00 		                  			 ~  		                  				2021-06-04 16:30:00","166","10.00"
"臺北市信義區","臺北市信義區松友里010鄰信義路六段７６巷８弄７２號的路口","2021-06-04 13:44:00 		                  			 ~  		                  				2021-06-04 16:30:00","166","10.00"
"臺北市南港區","臺北市南港區中南里020鄰市民大道八段５４８號","2021-06-04 13:43:00 		                  			 ~  		                  				2021-06-04 16:30:00","167","30.00"
"臺北市文山區","臺北市文山區明義里005鄰木柵路二段１２４號前方","2021-06-04 13:41:00 		                  			 ~  		                  				2021-06-04 16:20:00","159","10.00"
"臺北市大安區","台北市大安區基隆路三段109號(面向機車行門前左側DJ箱下)","2021-06-04 13:40:00 		                  			 ~  		                  				2021-06-04 14:45:00","65","24.00"
"臺北市文山區","路面淹到腳踝","2021-06-04 13:37:00 		                  			 ~  		                  				2021-06-04 16:50:00","193","10.00"
"臺北市文山區","景興路108巷","2021-06-04 13:33:00 		                  			 ~  		                  				2021-06-04 16:30:00","177","10.00"
"臺北市信義區","信義區松隆路28號","2021-06-04 13:33:00 		                  			 ~  		                  				2021-06-04 16:30:00","177","20.00"
"臺北市文山區","景興路108巷附近","2021-06-04 13:26:00 		                  			 ~  		                  				2021-06-04 16:20:00","174","10.00"
"臺北市文山區","台北市文山區興隆路二段299號旁巷內交接箱(CM1020)下","2021-06-04 13:21:00 		                  			 ~  		                  				2021-06-04 14:36:00","75","40.00"
"臺北市文山區","台北市文山區仙岩路22巷","2021-06-04 13:19:00 		                  			 ~  		                  				2021-06-04 17:00:00","221","10.00"
"臺北市文山區","興隆路二段299號淹水10公分","2021-06-04 13:19:00 		                  			 ~  		                  				2021-06-04 16:20:00","181","10.00"
"臺北市內湖區","台北市內湖區東湖路58巷","2021-05-24 17:00:00 		                  			 ~  		                  				2021-05-24 17:20:00","20","30.00"
