查詢區間:111年01月01日~111年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市八里區","八里區龍米路三段(往林口方向)","2022-08-02 09:25:00 		                  			 ~  		                  				2022-08-02 11:10:00","105","-"
"新北市八里區","中華路一段與埤頭一街口","2022-08-02 09:21:26 		                  			 ~  		                  				2022-08-02 10:44:26","83","20.00"
"新北市淡水區","淡水區新興國小","2022-08-02 09:21:00 		                  			 ~  		                  				2022-08-02 10:20:00","59","-"
"新北市板橋區","新北市 板橋區 溪城路93號","2022-07-05 15:00:00 		                  			 ~  		                  				2022-07-05 17:00:00","120","10.00"
"新北市八里區","新北市 八里區 台61線中山路三段323號","2022-07-05 15:00:00 		                  			 ~  		                  				2022-07-05 17:00:00","120","10.00"
"新北市五股區","成泰路一段98巷","2022-07-05 13:59:17 		                  			 ~  		                  				2022-07-05 14:17:17","18","12.00"
"新北市五股區","五股國小附近","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市樹林區","中山地下道","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市五股區","夏綠地街","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市新莊區","新莊迴龍中正路、鳳翔社區門口一帶","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市八里區","龍米路一段51號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市樹林區","武林街6號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市板橋區","漢生東路 中山路一段交叉路口","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市新莊區","萬安街165巷2號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市五股區","更洲路35號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市泰山區","工專路積淹水","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市泰山區","明志路三段145巷","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市樹林區","武林街18號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市五股區","御史路56巷","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市泰山區","貴子路67巷1號","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 19:00:00","180","-"
"新北市樹林區","樹林區三福街42巷","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 18:50:00","170","20.00"
"新北市樹林區","樹林區大安路與備內街口","2022-07-04 16:00:00 		                  			 ~  		                  				2022-07-04 18:50:00","170","-"
"新北市泰山區","新生路175號","2022-07-04 14:52:58 		                  			 ~  		                  				2022-07-04 16:15:58","83","14.00"
"新北市泰山區","泰林路與新北大道口","2022-07-04 14:52:33 		                  			 ~  		                  				2022-07-04 15:32:33","40","16.00"
"新北市五股區","成泰路一段98巷","2022-07-04 14:42:17 		                  			 ~  		                  				2022-07-04 16:27:17","105","67.00"
"新北市土城區","金城路二段46巷18-9號","2022-06-25 15:01:08 		                  			 ~  		                  				2022-06-25 15:10:08","9","11.00"
"新北市五股區","成泰路一段98巷","2022-06-25 14:43:17 		                  			 ~  		                  				2022-06-25 15:41:17","58","26.00"
"新北市汐止區","汐止區汐止區吉林街和南陽街交界處涵洞","2022-06-24 16:20:00 		                  			 ~  		                  				2022-06-24 16:30:00","10","-"
"新北市汐止區","南陽街車行地下道","2022-06-24 15:32:45 		                  			 ~  		                  				2022-06-24 16:23:45","51","56.00"
"新北市五股區","成泰路一段98巷","2022-06-07 13:53:17 		                  			 ~  		                  				2022-06-07 14:11:17","18","15.00"
"新北市五股區","成泰路一段98巷","2022-05-26 14:15:17 		                  			 ~  		                  				2022-05-26 14:26:17","11","15.00"
"新北市五股區","新北市五股區御史路一巷和御成路路口一域","2022-05-25 19:10:00 		                  			 ~  		                  				2022-05-25 21:30:00","140","20.00"
"新北市淡水區","新北市淡水區中正路一段與中正路一段6巷路口(新北市忠烈祠)","2022-05-25 19:10:00 		                  			 ~  		                  				2022-05-25 21:10:00","120","30.00"
"新北市八里區","新北市八里區北50鄉道","2022-05-25 19:00:00 		                  			 ~  		                  				2022-05-25 20:10:00","70","10.00"
"新北市五股區","疏洪一路1K+300","2022-05-25 18:52:19 		                  			 ~  		                  				2022-05-26 04:33:20","581","64.00"
"新北市泰山區","新北市泰山區泰林路三段606巷","2022-05-25 18:50:00 		                  			 ~  		                  				2022-05-25 19:40:00","50","15.00"
"新北市五股區","疏洪一路五方福德宮前","2022-05-25 18:34:39 		                  			 ~  		                  				2022-05-26 04:03:18","569","68.00"
"新北市五股區","疏洪六路/疏洪一路交叉路口","2022-05-25 18:23:46 		                  			 ~  		                  				2022-05-25 23:07:46","284","41.00"
"新北市五股區","疏洪八路/疏洪一路交叉路口","2022-05-25 18:13:33 		                  			 ~  		                  				2022-05-26 01:12:33","419","53.00"
"新北市蘆洲區","仁愛街35巷14弄1號","2022-05-25 17:34:00 		                  			 ~  		                  				2022-05-25 18:25:00","51","15.00"
"新北市五股區","成泰路一段98巷","2022-05-25 16:45:17 		                  			 ~  		                  				2022-05-25 20:59:17","254","50.00"
"新北市八里區","中華路一段與埤頭一街口","2022-05-25 16:43:41 		                  			 ~  		                  				2022-05-25 17:42:41","59","18.00"
"新北市五股區","成泰路一段98巷","2022-10-16 15:06:17 		                  			 ~  		                  				2022-10-16 16:04:17","58","29.00"
