查詢區間:111年01月01日~111年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市松山區","105台灣台北市松山區敦化北路155巷100號　105台灣台北市松山區敦化北路155巷100巷","2022-10-16 15:58:00 		                  			 ~  		                  				2022-10-16 19:30:00","212","20.00"
"臺北市內湖區","臺北市內湖區金湖路326巷68號","2022-10-16 15:58:00 		                  			 ~  		                  				2022-10-16 17:00:00","62","-"
"臺北市內湖區","康湖路至成功路5段道路積水，汽車勉強可通行，幾車有困難","2022-10-16 15:57:00 		                  			 ~  		                  				2022-10-16 19:50:00","233","30.00"
"臺北市內湖區","成功路5段45巷1號","2022-10-16 15:57:00 		                  			 ~  		                  				2022-10-16 17:00:00","63","-"
"臺北市內湖區","成功路二段167號","2022-10-16 15:57:00 		                  			 ~  		                  				2022-10-16 16:30:00","33","-"
"臺北市信義區","信義區信義路5段150巷401弄38號","2022-10-16 15:56:00 		                  			 ~  		                  				2022-10-16 21:50:00","354","-"
"臺北市信義區","信義區松德路309號","2022-10-16 15:54:00 		                  			 ~  		                  				2022-10-16 20:20:00","266","-"
"臺北市中山區","德惠街16之5號","2022-10-16 15:52:00 		                  			 ~  		                  				2022-10-16 16:30:00","38","-"
"臺北市南港區","臺北市南港區南港路1段117巷2號","2022-10-16 15:51:00 		                  			 ~  		                  				2022-10-16 17:00:00","69","-"
"臺北市信義區","信義區六合里信義路五段150巷392號1樓","2022-10-16 15:50:00 		                  			 ~  		                  				2022-10-16 21:40:00","350","-"
"臺北市信義區","信義區大道里中坡南路26號前污水孔蓋","2022-10-16 15:50:00 		                  			 ~  		                  				2022-10-16 19:30:00","220","-"
"臺北市信義區","虎林街242巷","2022-10-16 15:50:00 		                  			 ~  		                  				2022-10-16 17:10:00","80","-"
"臺北市南港區","南港區南港路1段117巷2號","2022-10-16 15:47:00 		                  			 ~  		                  				2022-10-16 17:00:00","73","-"
"臺北市內湖區","康湖路交成功路5段","2022-10-16 15:39:00 		                  			 ~  		                  				2022-10-16 17:00:00","81","30.00"
"臺北市中山區","臺北市中山區圓山里009鄰林森北路６２２號","2022-10-16 15:36:00 		                  			 ~  		                  				2022-10-16 17:00:00","84","10.00"
"臺北市信義區","信義區信義路6段15巷24號","2022-10-16 15:31:00 		                  			 ~  		                  				2022-10-16 17:00:00","89","10.00"
"臺北市大安區","大安區新生南路3段90號","2022-10-16 15:30:00 		                  			 ~  		                  				2022-10-16 17:00:00","90","10.00"
"臺北市南港區","中南街42巷","2022-10-16 15:30:00 		                  			 ~  		                  				2022-10-16 17:00:00","90","-"
"臺北市內湖區","安泰街54巷5號","2022-10-16 15:15:00 		                  			 ~  		                  				2022-10-16 20:40:00","325","-"
"臺北市內湖區","東湖路58巷道路積淹水","2022-10-16 15:09:00 		                  			 ~  		                  				2022-10-16 17:10:00","121","10.00"
"臺北市松山區","南京東路交敦化北路","2022-10-16 13:56:00 		                  			 ~  		                  				2022-10-16 15:40:00","104","-"
"臺北市松山區","南京東路交敦化北路","2022-10-16 09:32:00 		                  			 ~  		                  				2022-10-16 16:10:00","398","-"
"臺北市大安區","敦化南路二段交基隆路二段人行地下道","2022-08-25 17:32:00 		                  			 ~  		                  				2022-08-25 18:20:00","48","-"
"臺北市大安區","敦化南路1段233巷63號","2022-08-25 17:03:00 		                  			 ~  		                  				2022-08-25 18:00:00","57","10.00"
"臺北市大安區","基隆路3段107巷2號","2022-08-25 16:56:00 		                  			 ~  		                  				2022-08-25 18:00:00","64","10.00"
"臺北市松山區","基隆路1段1號","2022-08-25 16:45:00 		                  			 ~  		                  				2022-08-25 17:40:00","55","-"
"臺北市大安區","四維路44巷26號1樓","2022-08-25 16:44:00 		                  			 ~  		                  				2022-08-25 18:20:00","96","-"
"臺北市大安區","信義路4段294巷","2022-08-25 16:43:00 		                  			 ~  		                  				2022-08-25 17:20:00","37","-"
"臺北市信義區","崇德街38巷23號","2022-08-25 16:42:00 		                  			 ~  		                  				2022-08-25 17:20:00","38","-"
"臺北市文山區","羅斯福路5段176巷","2022-08-25 16:42:00 		                  			 ~  		                  				2022-08-25 17:10:00","28","-"
"臺北市大安區","復興南路2段193巷","2022-08-25 16:38:00 		                  			 ~  		                  				2022-08-25 17:00:00","22","-"
"臺北市松山區","南京東路五段291巷22號","2022-08-25 16:31:00 		                  			 ~  		                  				2022-08-25 17:20:00","49","-"
"臺北市信義區","莊敬路-信義路五段","2022-08-25 16:31:00 		                  			 ~  		                  				2022-08-25 17:20:00","49","-"
"臺北市信義區","汀州路3段110號","2022-08-25 16:26:00 		                  			 ~  		                  				2022-08-25 17:20:00","54","-"
"臺北市中正區","金門街24巷-同安街","2022-08-25 16:24:00 		                  			 ~  		                  				2022-08-25 17:20:00","56","-"
"臺北市信義區","基隆路2段149號","2022-08-25 16:21:00 		                  			 ~  		                  				2022-08-25 17:30:00","69","-"
"臺北市大安區","基隆路3段155巷","2022-08-25 16:19:00 		                  			 ~  		                  				2022-08-25 17:20:00","61","-"
"臺北市大安區","敦化南路1段233巷63號","2022-08-25 17:03:00 		                  			 ~  		                  				2022-08-25 18:00:00","57","10.00"
