"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2021-06-04 14:43:00+08","信義區","松隆路在永吉路到基隆路之間路段(往基隆路方向)","2021-06-04 14:43:00~2021-06-04 16:40:00","117","20.00"
"2021-06-04 14:42:00+08","士林區","中正路-延平北路五段交叉口","2021-06-04 14:42:00~2021-06-04 16:30:00","108","30.00"
"2021-06-04 14:41:00+08","信義區","莊敬路289巷","2021-06-04 14:41:00~2021-06-04 16:30:00","109","30.00"
"2021-06-04 14:40:00+08","大安區","臺北市大安區黎孝里019鄰富陽街９６號","2021-06-04 14:40:00~2021-06-04 16:40:00","120","20.00"
"2021-06-04 14:39:00+08","士林區","臺北市士林區後港里025鄰通河東街二段２２號","2021-06-04 14:39:00~2021-06-04 16:30:00","111","10.00"
"2021-06-04 14:37:00+08","松山區","八德路四段72巷10弄","2021-06-04 14:37:00~2021-06-04 16:40:00","123","10.00"
"2021-06-04 14:36:00+08","信義區","永吉路120巷50弄整條巷子","2021-06-04 14:36:00~2021-06-04 16:30:00","114","10.00"
"2021-06-04 14:35:00+08","中山區","臺北市中山區江山里013鄰合江街８７號","2021-06-04 14:35:00~2021-06-04 16:30:00","115","10.00"
"2021-06-04 14:34:00+08","信義區","吳興街284巷20弄 巷弄內","2021-06-04 14:34:00~2021-06-04 16:30:00","116","10.00"
"2021-06-04 14:33:00+08","信義區","臺北市信義區興雅里014鄰永吉路３０巷１４８弄１２號","2021-06-04 14:33:00~2021-06-04 16:30:00","117","10.00"
"2021-06-04 14:30:00+08","信義區","永吉路30巷158弄","2021-06-04 14:30:00~2021-06-04 16:30:00","120","10.00"
"2021-06-04 14:27:00+08","大安區","通化街57巷","2021-06-04 14:27:00~2021-06-04 16:30:00","123","20.00"
"2021-06-04 14:25:00+08","松山區","敦化北路155巷巷口","2021-06-04 14:25:00~2021-06-04 16:30:00","125","30.00"
"2021-06-04 14:25:00+08","信義區","臺北市信義區敦厚里010鄰松隆路７２號前面","2021-06-04 14:25:00~2021-06-04 16:30:00","125","10.00"
"2021-06-04 14:24:00+08","信義區","臺北市信義區興雅里028鄰忠孝東路五段１６５巷３弄６號","2021-06-04 14:24:00~2021-06-04 16:40:00","136","30.00"
"2021-06-04 14:24:00+08","信義區","臺北市信義區黎平里016鄰富陽街２５號","2021-06-04 14:24:00~2021-06-04 16:30:00","126","10.00"
"2021-06-04 14:24:00+08","信義區","虎林街242巷巷內道路二側","2021-06-04 14:24:00~2021-06-04 16:30:00","126","15.00"
"2021-06-04 14:23:00+08","松山區","臺北市松山區吉祥里003鄰八德路四段２４５巷３２弄２１號1樓前方","2021-06-04 14:23:00~2021-06-04 16:20:00","117","10.00"
"2021-06-04 14:22:00+08","信義區","臺北市信義區敦厚里011鄰永吉路３０巷１號","2021-06-04 14:22:00~2021-06-04 16:30:00","128","10.00"
"2021-06-04 14:22:00+08","信義區","永吉路30巷148弄","2021-06-04 14:22:00~2021-06-04 16:30:00","128","15.00"
"2021-06-04 14:21:00+08","信義區","臺北市信義區興雅里026鄰永吉路３０巷１６７弄３４號","2021-06-04 14:21:00~2021-06-04 16:30:00","129","10.00"
"2021-06-04 14:19:00+08","大安區","臺北市大安區建倫里003鄰安和路一段２７號","2021-06-04 14:19:00~2021-06-04 16:40:00","141","10.00"
"2021-06-04 14:18:00+08","信義區","忠孝東路五段236巷10弄整條巷子","2021-06-04 14:18:00~2021-06-04 16:20:00","122","10.00"
"2021-06-04 14:17:00+08","信義區","臺北市信義區興雅里001鄰忠孝東路五段６號","2021-06-04 14:17:00~2021-06-04 16:30:00","133","20.00"
"2021-06-04 14:17:00+08","信義區","信義路六段76巷2弄內","2021-06-04 14:17:00~2021-06-04 16:20:00","123","10.00"
"2021-06-04 14:16:00+08","文山區","臺北市文山區興家里019鄰興隆路三段２２１巷２弄７號1樓","2021-06-04 14:16:00~2021-06-04 16:30:00","134","15.00"
"2021-06-04 14:16:00+08","信義區","福德街310巷巷內","2021-06-04 14:16:00~2021-06-04 16:20:00","124","40.00"
"2021-06-04 14:16:00+08","信義區","台北市信義區信義路6段43號","2021-06-04 14:16:00~2021-06-04 16:20:00","124","50.00"
"2021-06-04 14:13:00+08","信義區","永吉路30巷83弄道馬路上","2021-06-04 14:13:00~2021-06-04 16:30:00","137","10.00"
"2021-06-04 14:12:00+08","信義區","莊敬路391巷3弄整條巷子","2021-06-04 14:12:00~2021-06-04 16:40:00","148","10.00"
