查詢區間:112年01月01日~112年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"臺北市士林區","延平北路6段157號積淹水","2023-06-30 15:41:00 		                  			 ~  		                  				2023-06-30 20:10:47","269","-"
"臺北市士林區","中正路223巷","2023-06-30 15:39:00 		                  			 ~  		                  				2023-06-30 20:10:47","271","-"
"臺北市北投區","自強街5巷165號1樓","2023-06-30 15:38:00 		                  			 ~  		                  				2023-06-30 20:10:47","272","-"
"臺北市萬華區","廣州街211號-艋舺龍山寺","2023-06-30 15:38:00 		                  			 ~  		                  				2023-06-30 20:10:47","272","-"
"臺北市北投區","七星街中山路口","2023-06-30 15:36:00 		                  			 ~  		                  				2023-06-30 20:10:47","274","-"
"臺北市萬華區","峨眉街38號","2023-06-30 15:35:00 		                  			 ~  		                  				2023-06-30 20:10:47","275","-"
"臺北市士林區","中山北路6段185號","2023-06-30 15:30:00 		                  			 ~  		                  				2023-06-30 20:10:47","280","-"
"臺北市中山區","康樂里林森公園","2023-06-30 15:29:00 		                  			 ~  		                  				2023-06-30 20:10:47","281","-"
"臺北市士林區","延平北路5段積淹水","2023-06-30 15:27:00 		                  			 ~  		                  				2023-06-30 20:10:47","283","-"
"臺北市士林區","中正路212巷1弄","2023-06-30 15:27:00 		                  			 ~  		                  				2023-06-30 20:10:47","283","-"
"臺北市萬華區","大理街積淹水","2023-06-30 15:26:00 		                  			 ~  		                  				2023-06-30 20:10:47","284","-"
"臺北市信義區","中山北路2段120號中山北路2段-錦西街積淹水","2023-06-30 15:24:00 		                  			 ~  		                  				2023-06-30 20:10:47","286","-"
"臺北市中山區","北安路47號積淹水","2023-06-30 15:24:00 		                  			 ~  		                  				2023-06-30 20:10:47","286","-"
"臺北市中山區","北安路139號(忠烈祠)北安路忠烈祠","2023-06-30 15:22:00 		                  			 ~  		                  				2023-06-30 20:10:47","288","-"
"臺北市士林區","中正路235巷","2023-06-30 15:18:00 		                  			 ~  		                  				2023-06-30 20:10:47","292","-"
"臺北市中山區","中山北路錦西街口積淹水","2023-06-30 15:17:00 		                  			 ~  		                  				2023-06-30 20:10:47","293","-"
"臺北市大安區","臺北市大安區仁愛路4段300巷25弄3號前","2023-06-23 17:03:00 		                  			 ~  		                  				2023-06-23 19:40:49","157","-"
"臺北市中正區","三元街262號~268號","2023-06-23 16:50:00 		                  			 ~  		                  				2023-06-23 19:40:49","170","-"
"臺北市中正區","濟南路一段","2023-06-23 16:07:00 		                  			 ~  		                  				2023-06-23 19:40:49","213","-"
"臺北市中山區","錦西街1號","2023-06-23 16:00:00 		                  			 ~  		                  				2023-06-23 19:40:49","220","-"
"臺北市萬華區","西園國小","2023-06-23 15:44:00 		                  			 ~  		                  				2023-06-23 19:40:49","236","-"
"臺北市文山區","興德路66巷","2023-06-23 15:42:00 		                  			 ~  		                  				2023-06-23 19:40:49","238","-"
"臺北市大安區","新生南路三段88號","2023-06-23 15:38:00 		                  			 ~  		                  				2023-06-23 19:40:49","242","-"
"臺北市萬華區","西園路二段52巷","2023-06-23 15:25:00 		                  			 ~  		                  				2023-06-23 19:40:49","255","-"
