"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2022-10-16 19:41:00+08","板橋區","板橋區懷德街64號與80號","2022-10-16 19:41:00~2022-10-16 22:10:00","149","-"
"2022-10-16 19:37:00+08","汐止區","汐止區八連路一段1巷","2022-10-16 19:37:00~2022-10-17 00:10:00","273","-"
"2022-10-16 19:36:00+08","三重區","三重區五華街35巷18號","2022-10-16 19:36:00~2022-10-17 00:00:00","264","-"
"2022-10-16 19:34:00+08","新店區","板橋區板橋區新北環快4.5K至5K","2022-10-16 19:34:00~2022-10-17 00:10:00","276","-"
"2022-10-16 19:21:00+08","瑞芳區","瑞芳區新北市瑞芳區瑞芳街93號","2022-10-16 19:21:00~2022-10-17 00:00:00","279","-"
"2022-10-16 19:18:46+08","貢寮區","德心街10號(德心宮)","2022-10-16 19:18:46~2022-10-16 19:30:46","12","11.00"
"2022-10-16 19:17:00+08","五股區","五股區新北市五股區4號越堤道路","2022-10-16 19:17:00~2022-10-17 00:00:00","283","-"
"2022-10-16 19:12:00+08","瑞芳區","瑞芳區新北市瑞芳區","2022-10-16 19:12:00~2022-10-17 00:10:00","298","-"
"2022-10-16 19:05:00+08","汐止區","汐止區樟樹一路231號","2022-10-16 19:05:00~2022-10-17 00:10:00","305","-"
"2022-10-16 19:04:00+08","淡水區","淡水區中正東路二段88巷","2022-10-16 19:04:00~2022-10-17 00:00:00","296","-"
"2022-10-16 18:56:00+08","汐止區","汐止區新北市汐止區康寧街","2022-10-16 18:56:00~2022-10-17 00:10:00","314","-"
"2022-10-16 18:36:00+08","三重區","三重區三和路四段","2022-10-16 18:36:00~2022-10-17 00:10:00","334","10.00"
"2022-10-16 18:33:00+08","蘆洲區","蘆洲區新北市蘆洲區復興路","2022-10-16 18:33:00~2022-10-17 00:10:00","337","-"
"2022-10-16 18:30:00+08","汐止區","汐止區康寧街汐湖二橋","2022-10-16 18:30:00~2022-10-17 00:10:00","340","-"
"2022-10-16 18:28:00+08","蘆洲區","蘆洲區新北市蘆洲區中正路185巷3弄44號前","2022-10-16 18:28:00~2022-10-17 00:10:00","342","-"
"2022-10-16 18:19:00+08","金山區","金山區新北市金山區重和里19號1樓","2022-10-16 18:19:00~2022-10-17 00:10:00","351","-"
"2022-10-16 18:18:22+08","三重區","中正北路508巷51號","2022-10-16 18:18:22~2022-10-16 18:48:22","30","12.00"
"2022-10-16 18:16:00+08","蘆洲區","蘆洲區蘆洲區中山二路113巷1之1號","2022-10-16 18:16:00~2022-10-17 00:10:00","354","-"
"2022-10-16 18:13:00+08","五股區","五股區更洲路37號","2022-10-16 18:13:00~2022-10-17 00:10:00","357","-"
"2022-10-16 18:09:00+08","汐止區","汐止區忠孝東路382巷","2022-10-16 18:09:00~2022-10-17 00:10:00","361","-"
