查詢區間:113年01月01日~113年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市萬里區","萬里區漁澳33號","2024-10-04 14:59:00 		                  			 ~  		                  				2024-10-04 18:30:00","211","-"
"新北市金山區","金山區阿月快炒前","2024-10-04 14:58:00 		                  			 ~  		                  				2024-10-04 23:30:00","512","-"
"新北市金山區","金山區金美里忠孝一路19巷","2024-10-04 14:55:00 		                  			 ~  		                  				2024-10-04 19:00:00","245","-"
"新北市金山區","金山區五湖里","2024-10-04 14:53:00 		                  			 ~  		                  				2024-10-05 23:49:47","1976","-"
"新北市金山區","金山區六股里5鄰62號","2024-10-04 14:52:00 		                  			 ~  		                  				2024-10-05 00:30:00","578","-"
"新北市金山區","金山區三界壇路一鄰30號","2024-10-04 14:47:00 		                  			 ~  		                  				2024-10-04 19:00:00","253","-"
"新北市金山區","金山區新北市金山區下六股63號","2024-10-04 14:42:00 		                  			 ~  		                  				2024-10-05 23:49:47","1987","-"
"新北市金山區","金山區月眉22~23號","2024-10-04 14:33:00 		                  			 ~  		                  				2024-10-04 19:10:00","277","-"
"新北市三芝區","三芝區屏山天元宮","2024-10-04 14:32:00 		                  			 ~  		                  				2024-10-04 19:10:00","278","-"
"新北市金山區","金山區新北市金山區環金路147號","2024-10-04 14:25:00 		                  			 ~  		                  				2024-10-05 01:10:00","645","-"
"新北市金山區","金山區新北市金山區三界壇路99號","2024-10-04 14:23:00 		                  			 ~  		                  				2024-10-04 21:50:00","447","-"
"新北市萬里區","萬里區新北市萬里區萬里加投21號之2","2024-10-04 14:19:00 		                  			 ~  		                  				2024-10-05 01:10:00","651","-"
"新北市淡水區","淡水區新北市淡水區小中寮9號之7","2024-10-04 14:10:00 		                  			 ~  		                  				2024-10-05 23:49:47","2019","-"
"新北市石門區","石門區新北市石門區尖山湖56號","2024-10-04 14:10:00 		                  			 ~  		                  				2024-10-05 01:10:00","660","-"
"新北市金山區","金山區新北市金山區 台2甲0k  +300","2024-10-04 12:41:00 		                  			 ~  		                  				2024-10-05 23:49:47","2108","-"
"新北市淡水區","淡水區淡金路三段73號","2024-10-04 08:41:00 		                  			 ~  		                  				2024-10-05 23:49:47","2348","-"
"新北市三芝區","三芝區店子里北101線","2024-10-04 08:41:00 		                  			 ~  		                  				2024-10-05 23:49:47","2348","-"
"新北市淡水區","淡水區新北市淡水區中正路二段393號","2024-10-04 07:53:00 		                  			 ~  		                  				2024-10-04 17:00:00","547","10.00"
"新北市淡水區","淡水區義山路一段220號","2024-10-04 07:42:00 		                  			 ~  		                  				2024-10-04 17:00:00","558","10.00"
