data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2021-06-04 14:07:00+08,內湖區,臺北市內湖區湖興里013鄰瑞光路９號至70幾號之間,2021-06-04 14:07:00~2021-06-04 16:50:00,163.0,10.00,25.07216749,121.57247335
2021-06-04 14:06:00+08,信義區,逸仙路42巷巷道內,2021-06-04 14:06:00~2021-06-04 16:40:00,154.0,10.00,25.03882391,121.55491669
2021-06-04 14:06:00+08,南港區,興東街10巷內,2021-06-04 14:06:00~2021-06-04 16:20:00,134.0,10.00,25.01975803,121.44673367
2021-06-04 14:05:00+08,信義區,吳興街284巷 巷內,2021-06-04 14:05:00~2021-06-04 16:40:00,155.0,10.00,25.02504608,121.56200058
2021-06-04 14:04:00+08,文山區,臺北市文山區興光里007鄰興隆路三段４７號,2021-06-04 14:04:00~2021-06-04 16:50:00,166.0,10.00,24.9957199,121.54666055
2021-06-04 14:04:00+08,大安區,臺北市大安區光信里016鄰延吉街２５１號,2021-06-04 14:04:00~2021-06-04 16:50:00,166.0,10.00,25.03627548,121.55344548
2021-06-04 14:04:00+08,文山區,興德路上，興隆路三段至興德路62巷之間,2021-06-04 14:04:00~2021-06-04 16:30:00,146.0,20.00,24.99705441,121.55266924
2021-06-04 14:03:00+08,文山區,木柵路二段-興隆路四段,2021-06-04 14:03:00~2021-06-04 16:20:00,137.0,10.00,24.98872438,121.55755908
2021-06-04 14:02:00+08,信義區,信義路六段-松德路,2021-06-04 14:02:00~2021-06-04 16:50:00,168.0,10.00,25.03354658,121.57206758
2021-06-04 14:01:00+08,信義區,信義路六段15巷(整條),2021-06-04 14:01:00~2021-06-04 16:50:00,169.0,30.00,25.03577588,121.57259128
2021-06-04 14:01:00+08,信義區,虎林街232巷(整條),2021-06-04 14:01:00~2021-06-04 16:30:00,149.0,30.00,25.03635573,121.57418518
2021-06-04 14:00:00+08,信義區,臺北市信義區景新里002鄰吳興街２０７號,2021-06-04 14:00:00~2021-06-04 16:30:00,150.0,20.00,25.02830141,121.55666499
2021-06-04 13:59:00+08,南港區,臺北市南港區中南里020鄰市民大道八段５４８號,2021-06-04 13:59:00~2021-06-04 16:30:00,151.0,30.00,25.0196686,121.302522
2021-06-04 13:59:00+08,大安區,臺北市大安區學府里010鄰基隆路三段１５５巷１０７弄４７號,2021-06-04 13:59:00~2021-06-04 16:30:00,151.0,20.00,25.01973674,121.38493175
2021-06-04 13:59:00+08,內湖區,康寧路三段-安康路交叉口,2021-06-04 13:59:00~2021-06-04 16:20:00,141.0,10.00,25.06492458,121.60841368
2021-06-04 13:57:00+08,信義區,臺北市信義區泰和里001鄰松仁路３０６號,2021-06-04 13:57:00~2021-06-04 16:20:00,143.0,10.00,25.02944645,121.56219145
2021-06-04 13:55:00+08,信義區,臺北市信義區正和里005鄰光復南路４１７巷３７號,2021-06-04 13:55:00~2021-06-04 16:40:00,165.0,10.00,25.03695678,121.55541608
2021-06-04 13:52:00+08,信義區,臺北市信義區泰和里006鄰吳興街５８３巷２弄１９號,2021-06-04 13:52:00~2021-06-04 16:40:00,168.0,10.00,25.0246484,121.55528845
2021-06-04 13:51:00+08,信義區,臺北市信義區廣居里012鄰虎林街１３２巷７１號,2021-06-04 13:51:00~2021-06-04 16:20:00,149.0,10.00,25.03993263,121.57311818
2021-06-04 13:47:00+08,文山區,臺北市文山區萬有里013鄰羅斯福路六段３９巷１號至13號,2021-06-04 13:47:00~2021-06-04 16:30:00,163.0,10.00,24.99754508,121.53250943
2021-06-04 13:46:00+08,大安區,臺北市大安區通化里017鄰通化街５７巷５９號後方防火巷及通化街５７巷整條巷,2021-06-04 13:46:00~2021-06-04 16:40:00,174.0,10.00,25.03085073,121.55258993
2021-06-04 13:44:00+08,文山區,臺北市文山區興光里007鄰興德路６巷２２號整條巷子,2021-06-04 13:44:00~2021-06-04 16:30:00,166.0,10.00,24.998581,121.54668245
2021-06-04 13:44:00+08,信義區,臺北市信義區松友里010鄰信義路六段７６巷８弄７２號的路口,2021-06-04 13:44:00~2021-06-04 16:30:00,166.0,10.00,25.03169065,121.5629946
2021-06-04 13:43:00+08,南港區,臺北市南港區中南里020鄰市民大道八段５４８號,2021-06-04 13:43:00~2021-06-04 16:30:00,167.0,30.00,25.05252628,121.57745838
2021-06-04 13:41:00+08,文山區,臺北市文山區明義里005鄰木柵路二段１２４號前方,2021-06-04 13:41:00~2021-06-04 16:20:00,159.0,10.00,24.98864708,121.55882918
2021-06-04 13:40:00+08,大安區,台北市大安區基隆路三段109號(面向機車行門前左側DJ箱下),2021-06-04 13:40:00~2021-06-04 14:45:00,65.0,24.00,25.01638598,121.54126088
2021-06-04 13:37:00+08,文山區,路面淹到腳踝,2021-06-04 13:37:00~2021-06-04 16:50:00,193.0,10.00,25.03608848,121.44875158
2021-06-04 13:33:00+08,文山區,景興路108巷,2021-06-04 13:33:00~2021-06-04 16:30:00,177.0,10.00,24.99409283,121.54162923
2021-06-04 13:33:00+08,信義區,信義區松隆路28號,2021-06-04 13:33:00~2021-06-04 16:30:00,177.0,20.00,25.04328908,121.56468098
2021-06-04 13:26:00+08,文山區,景興路108巷附近,2021-06-04 13:26:00~2021-06-04 16:20:00,174.0,10.00,24.99409283,121.54162923
2021-06-04 13:21:00+08,文山區,台北市文山區興隆路二段299號旁巷內交接箱(CM1020)下,2021-06-04 13:21:00~2021-06-04 14:36:00,75.0,40.00,25.00021105,121.54234665
2021-06-04 13:19:00+08,文山區,台北市文山區仙岩路22巷,2021-06-04 13:19:00~2021-06-04 17:00:00,221.0,10.00,24.99857078,121.54664028
2021-06-04 13:19:00+08,文山區,興隆路二段299號淹水10公分,2021-06-04 13:19:00~2021-06-04 16:20:00,181.0,10.00,24.99740845,121.53954025
2021-05-24 17:00:00+08,內湖區,台北市內湖區東湖路58巷,2021-05-24 17:00:00~2021-05-24 17:20:00,20.0,30.00,25.06850698,121.61124438
2022-10-16 21:01:00+08,南港區,臺北市南港區九如里021鄰研究院路二段１８２巷１０７弄３３號,2022-10-16 21:01:00~2022-10-16 22:10:00,69.0,10.00,25.03727653,121.61316413
2022-10-16 20:17:00+08,南港區,研究院路2段胡適公園,2022-10-16 20:17:00~2022-10-16 22:50:00,153.0,0,25.04021558,121.61534448
2022-10-16 20:17:00+08,南港區,研究院路2段胡適公園,2022-10-16 20:17:00~2022-10-16 22:20:00,123.0,0,25.04021558,121.61534448
2022-10-16 20:04:00+08,內湖區,民權東路6段99號,2022-10-16 20:04:00~2022-10-16 20:40:00,36.0,0,25.06936328,121.58642018
2022-10-16 20:03:00+08,大同區,蘭州街89巷12號,2022-10-16 20:03:00~2022-10-16 22:00:00,117.0,0,25.06435758,121.51304588
2022-10-16 20:02:00+08,內湖區,康樂街131巷3號1樓,2022-10-16 20:02:00~2022-10-16 20:20:00,18.0,0,25.07369846,121.61428804
2022-10-16 19:57:00+08,信義區,北安路458巷 明水路口,2022-10-16 19:57:00~2022-10-16 22:10:00,133.0,0,25.07865158,121.54394778
2022-10-16 19:47:00+08,中山區,大佳河濱公園_大佳碼頭,2022-10-16 19:47:00~2022-10-16 20:40:00,53.0,0,25.07618418,121.53482678
2022-10-16 19:38:00+08,內湖區,成功路2段426巷11號1樓,2022-10-16 19:38:00~2022-10-16 22:20:00,162.0,20.00,25.07123098,121.58663278
2022-10-16 19:37:00+08,內湖區,江南街113之1號,2022-10-16 19:37:00~2022-10-16 20:30:00,53.0,0,25.07643618,121.57362168
2022-10-16 19:20:00+08,南港區,重陽路235巷2號三樓,2022-10-16 19:20:00~2022-10-16 22:30:00,190.0,0,25.05780408,121.59961918
