data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2024-10-04 07:07:00+08,北海岸,萬里區新北市萬里區香員林18號之1,2024-10-04 07:07:00~2024-10-04 17:00:00,593.0,0,25.16475398,121.62920648
2024-10-04 06:56:00+08,北海岸,萬里區新北市萬里區中幅里中福19_1號,2024-10-04 06:56:00~2024-10-04 17:10:00,614.0,0,25.1792386,121.62713075
2024-10-03 16:09:00+08,汐止以東,瑞芳區魚桀魚坑路181號,2024-10-03 16:09:00~2024-10-04 22:59:55,1850.0,0,25.10863128,121.78643408
2024-10-03 15:02:00+08,汐止以東,瑞芳區新北市瑞芳區逢甲路  平交道附近,2024-10-03 15:02:00~2024-10-04 22:59:55,1917.0,0,25.07878176,121.7565149
2024-10-03 14:03:00+08,汐止以東,瑞芳區新北市瑞芳區明燈路  往62快速道路,2024-10-03 14:03:00~2024-10-03 20:00:00,357.0,20.00,25.10913858,121.80368703
2024-10-03 12:31:00+08,汐止以東,貢寮區和美街42號,2024-10-03 12:31:00~2024-10-04 22:59:55,2068.0,0,25.09063338,121.91088668
2024-10-03 10:40:00+08,汐止以東,瑞芳區瑞濱簡易法庭,2024-10-03 10:40:00~2024-10-03 22:00:00,680.0,0,25.11911818,121.81811908
2024-10-03 09:59:04+08,汐止以東,明燈路二段、明燈路二段85巷口,2024-10-03 09:59:04~2024-10-03 10:09:04,10.0,12.00,25.10677569,121.80336665
2024-10-03 09:44:00+08,汐止以東,瑞芳區四腳亭坑路6之1號,2024-10-03 09:44:00~2024-10-04 22:59:55,2235.0,0,25.10205258,121.77526648
2024-10-03 06:34:00+08,汐止以東,瑞芳區大寮路2-3號附近(瑞芳聖祖壇),2024-10-03 06:34:00~2024-10-03 22:00:00,926.0,0,25.10097098,121.78270868
2024-10-03 05:14:00+08,汐止以東,新北市瑞八公路(台2丁線12K 新北市瑞八公路(台2丁線12K+023)退水,2024-10-03 05:14:00~2024-10-03 06:20:00,66.0,0,25.12008813,121.80048138
2024-10-02 22:14:00+08,汐止以東,瑞芳區(經緯:121.79766;25.11998) 參考地址:新北市瑞芳區深澳坑路與基隆市的交界處，實際地址以派遣令地圖為主,2024-10-02 22:14:00~2024-10-03 21:50:00,1416.0,0,25.13436598,121.81816908
2024-10-02 22:02:00+08,汐止以東,瑞芳區瑞濱路123之3號,2024-10-02 22:02:00~2024-10-03 23:20:00,1518.0,0,25.11926998,121.81851678
2024-10-02 21:55:00+08,汐止以東,瑞芳區台2丁線12K+230(順樁),2024-10-02 21:55:00~2024-10-03 00:20:00,145.0,0,25.11065858,121.79208198
2024-10-02 21:50:00+08,汐止以東,瑞芳區瑞芳街21之1號附近,2024-10-02 21:50:00~2024-10-03 00:20:00,150.0,0,25.10952448,121.80416088
2024-10-02 21:40:00+08,汐止以東,瑞芳區瑞濱路123之3號,2024-10-02 21:40:00~2024-10-03 23:20:00,1540.0,0,25.11926998,121.81851678
2024-10-02 21:36:00+08,汐止以東,瑞芳區新北市瑞芳區 瑞濱隧道-台2丁線,2024-10-02 21:36:00~2024-10-03 00:20:00,164.0,0,25.11149418,121.80999088
2024-09-22 22:00:00+08,北海岸,淡金路及商工路口,2024-09-22 22:00:00~2024-09-22 23:50:00,110.0,0,25.17534657,121.43169838
2024-09-22 21:55:00+08,汐止以東,南陽街車行地下道,2024-09-22 21:55:00~2024-09-22 23:15:00,80.0,74.00,25.01975909,121.45703355
2024-09-22 20:25:00+08,三重以西,仁愛街35巷14弄1號,2024-09-22 20:25:00~2024-09-22 21:05:00,40.0,12.00,25.09273608,121.46878168
2024-09-22 20:19:08+08,三重以西,成泰路一段98巷,2024-09-22 20:19:08~2024-09-22 20:29:08,10.0,18.00,25.07135946,121.43539369
2024-09-22 19:45:00+08,三重以西,仁愛街212巷24號,2024-09-22 19:45:00~2024-09-22 23:05:00,200.0,34.00,25.09380508,121.46176968
2024-09-22 15:04:00+08,三重以西,新店區中正路與環河路,2024-09-22 15:04:00~,0,0,24.99184898,121.53066458
